DCC id	Title	Data File	Data Filepath	Level 1 <organism>	Level 2 <Target>	Level 3 <Technique>	Level 4 <File Format>	Filename <Factor>	Filename <Condition>	Filename <Technique>	Filename <ReplicateSetNum>	Filename <ChIP>	Filename <label>	Filename <Build>	Filename <Modencode ID>
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	SRX008139	SRX008139	Cele_WS190	mRNA	RNA-seq	ShortReadArchive_record	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	0			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.alignments.gff3.sam.gz	dauer_entry_daf-2_25dC_48hrs_post-L1.alignments.gff3.sam.gz	Cele_WS190	mRNA	RNA-seq	alignment_sam	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	0			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.raw_covg.ws170.wig	dauer_entry_daf-2_25dC_48hrs_post-L1.raw_covg.ws170.wig	Cele_WS190	mRNA	RNA-seq	coverage-graph_wiggle	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	0			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.win_covg.ws170.wig	dauer_entry_daf-2_25dC_48hrs_post-L1.win_covg.ws170.wig	Cele_WS190	mRNA	RNA-seq	coverage-graph_wiggle	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	0			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_introns_all.gff3	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_introns_all.gff3	Cele_WS190	mRNA	RNA-seq	gene-model_gff3	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	all			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_polya.gff3	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_polya.gff3	Cele_WS190	mRNA	RNA-seq	gene-model_gff3	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	all			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_splice_leaders.gff3	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_splice_leaders.gff3	Cele_WS190	mRNA	RNA-seq	gene-model_gff3	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	all			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.RNASEQ.ws170.gff3	dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.RNASEQ.ws170.gff3	Cele_WS190	mRNA	RNA-seq	gene-model_gff3	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	all			Cele_WS190	modENCODE_2838
2838	C. elegans dauer entry daf-2 RNA-Seq genelets	dauer_entry_daf-2_25dC_48hrs_post-L1.wormbase_transcripts.ws170.gff3	dauer_entry_daf-2_25dC_48hrs_post-L1.wormbase_transcripts.ws170.gff3	Cele_WS190	mRNA	RNA-seq	gene-model_gff3	total-RNA	Strain_daf-2(e1370);Developmental-Stage_dauer entry daf-2(el370) 25dC 48 hrs post-L1;temperature_25 degree celsius	RNA-seq	all			Cele_WS190	modENCODE_2838
2928	Dm mixed-stage embryos, RNA-Seq, multi mappers	SRR034309	SRR034309	Dmel_r5.4	mRNA	RNA-seq	ShortReadArchive_record	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Mixed Embryos 0-24h	RNA-seq	0			Dmel_r5.4	modENCODE_2928
