E0-12_BEAF 32 ChIP-chip	White	White	ChIP-chip	chromatin		Target=BEAF-32;AbName=BEAF-32;Array=38bp;ArrayPlatform=Affymetrix	1		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	2008-08-15	2009-01-26	released	21	GSM409067	BEAF-32_1fdr.gff
E0-12_CP190 ChIP-chip	White	White	ChIP-chip	chromatin		Target=Cp190;AbName=CP190;Array=38bp;ArrayPlatform=Affymetrix	1		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	2008-08-15	2008-08-15	released	22	GSM409068	CP190_1fdr.gff
Embryo 0-12h GAF ChIP-chip	White	White	ChIP-chip	chromatin		Target=Trl;AbName=GAF;Array=38bp;ArrayPlatform=Affymetrix	1		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	2008-08-15	2009-01-26	released	23	GSM409071	GAF_1fdr.gff
Embryo 0-12h Mod(mdg4) ChIP-chip	White	White	ChIP-chip	chromatin		Target=mod(mdg4);AbName=mod(mdg4);Array=38bp;ArrayPlatform=Affymetrix	1		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	2008-08-15	2009-01-26	released	24	GSM409072	Mod(mdg4)_1fdr.gff
Embryo 0-12h SuHw ChIP-chip	White	White	ChIP-chip	chromatin		Target=su(Hw);AbName=Su(Hw);Array=38bp;ArrayPlatform=Affymetrix	1		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	2008-08-15	2009-01-26	released	27	GSM409073	SuHw_1fdr.gff
5' RACE (mixed-stage embryos)	Celniker	Celniker	RACE	gene model		Reactions=686	2		Drosophila melanogaster		y; cn bw sp	early embryonic cell, blastoderm cell, gastrula cell	embryo: cleavage stage, extended germ band stage, gastrula stage, pre-blastoderm stage	2008-03-26	2009-02-03	released	34		2008-03-26.1.gff
Dm_1182-4H_TotalRNA_p200_038-040-042_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	1182-4H				2008-03-26	2009-01-27	released	40	GSE16269, GSM409470, GSM409471, GSM409472	1182-4H.bed.gff3
HTZ-1_N2_Mixed_Embryos (BK00001_HTZ1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=htz-1;AbName=HTZ-1;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-10	2010-02-11	released	43	GSM257465	computed_peaks/HTZIP_chipotle_peaks_WS180.gff3
POL-2_N2_Mixed_Embryos (CVMMS126R_8WG16_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=ama-1;AbName=8WG16;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2008-09-10	2010-02-17	released	44	GSM257637	
Dm_CME-L1_TotalRNA_p200_086-088-090_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	CME L1				2008-03-26	2009-01-27	released	48	GSE16270, GSM409473, GSM409474, GSM409475	CME-L1.bed.gff3
Dm_CME-W1-Cl.8p_TotalRNA_p200_060-062-064_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	CME W1 Cl.8+				2008-03-26	2009-01-27	released	49	GSE16271, GSM409476, GSM409477, GSM409478	CME-W1-Cl.8+.bed.gff3
Dm_GM2_TotalRNA_p200_008-010-012_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	GM2				2008-03-26	2009-01-27	released	50	GSE16272, GSM409479, GSM409480, GSM409481	GM2.bed.gff3
Dm_Kc167_TotalRNA_p200_002-004-006_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	Kc167				2008-03-26	2009-01-27	released	51	GSE16273, GSM409482, GSM409483, GSM409484	Kc167.bed.gff3
Dm_ML-DmBG1-c2_TotalRNA_p200_116-118-120_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmBG1-c1				2008-03-26	2009-01-27	released	52	GSE16274, GSM409485, GSM409486, GSM409487	ML-DmBG1-c1.bed.gff3
Dm_ML-DmBG3-c2_TotalRNA_p200_122-124-126_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmBG3-c2				2008-03-26	2009-01-27	released	53	GSE16275, GSM409488, GSM409489, GSM409490	ML-DmBG3-c2.bed.gff3
Dm_ML-DmD11_TotalRNA_p200_170-172-174_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD11				2008-03-26	2009-01-27	released	54	GSE16276, GSM409491, GSM409492, GSM409493	ML-DmD11.bed.gff3
Dm_DmD17-c3_TotalRNA_p200_194-196-198_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD17-c3				2008-03-26	2009-01-27	released	55	GSE16277, GSM409494, GSM409495, GSM409496	ML-DmD17-c3.bed.gff3
Dm_DmD20-c2_TotalRNA_p200_182-184-186_38bp	Celniker	Gingeras	tiling array: RNA	transcription		Array=38bp;ArrayPlatform=Affymetrix;RNAsize=>200bp	3		Drosophila melanogaster	ML-DmD20-c2				2008-03-26	2009-01-27	released	56	GSE16278, GSM409497, GSM409498, GSM409499	ML-DmD20-c2.bed.gff3
