initializing...
output file is /home/zzha/reporter_seq/tag/2482_tag.csv
connecting to database ...schema is modencode_experiment_2482_data,public
database connected.
loading experiment ...done.
A 2501:A 0 
A 2501:A 1 
A 2501:A 2 
A 2501:A 3 
A 2501:A 4 
A 2501:A 5 
A 2501:A 6 
A 2501:A 7 
A 2501:A 8 
A 2501:A 9 
A 2501:A 10 
A 2501:A 11 
A 2501:A 12 
A 2501:A 13 
A 2501:A 14 
A 2501:A 15 
A 2501:A 16 
B 2501:B 17 
B 2501:B 18 
B 2501:B 19 
B 2501:B 20 
B 2501:B 21 
B 2501:B 22 
B 2501:B 23 
B 2501:B 24 
B 2501:B 25 
B 2501:B 26 
B 2501:B 27 
B 2501:B 28 
B 2501:B 29 
B 2501:B 30 
B 2501:B 31 
B 2501:B 32 
B 2501:B 33 
C 2501:C 34 
C 2501:C 35 
C 2501:C 36 
C 2501:C 37 
C 2501:C 38 
C 2501:C 39 
C 2501:C 40 
C 2501:C 41 
C 2501:C 42 
C 2501:C 43 
C 2501:C 44 
C 2501:C 45 
C 2501:C 46 
C 2501:C 47 
C 2501:C 48 
C 2501:C 49 
C 2501:C 50 
D 2501:D 51 
D 2501:D 52 
D 2501:D 53 
D 2501:D 54 
D 2501:D 55 
D 2501:D 56 
D 2501:D 57 
D 2501:D 58 
D 2501:D 59 
D 2501:D 60 
D 2501:D 61 
D 2501:D 62 
D 2501:D 63 
D 2501:D 64 
D 2501:D 65 
D 2501:D 66 
D 2501:D 67 
E 2501:E 68 
E 2501:E 69 
E 2501:E 70 
E 2501:E 71 
E 2501:E 72 
E 2501:E 73 
E 2501:E 74 
E 2501:E 75 
E 2501:E 76 
E 2501:E 77 
E 2501:E 78 
E 2501:E 79 
E 2501:E 80 
E 2501:E 81 
E 2501:E 82 
E 2501:E 83 
E 2501:E 84 
F 2501:F 85 
F 2501:F 86 
F 2501:F 87 
F 2501:F 88 
F 2501:F 89 
F 2501:F 90 
F 2501:F 91 
F 2501:F 92 
F 2501:F 93 
F 2501:F 94 
F 2501:F 95 
F 2501:F 96 
F 2501:F 97 
F 2501:F 98 
F 2501:F 99 
F 2501:F 100 
F 2501:F 101 
G 2501:G 102 
G 2501:G 103 
G 2501:G 104 
G 2501:G 105 
G 2501:G 106 
G 2501:G 107 
G 2501:G 108 
G 2501:G 109 
