Submission ID	Description	Project	Lab	Assay	Data Type	Experimental Factor	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	GFF Files	GEO/SRA IDs
21	E0-12_BEAF 32 ChIP-chip	White	White	ChIP-chip	chromatin	Target=BEAF-32;AbName=BEAF-32;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	8/15/08	1/26/09	released	BEAF-32_1fdr.gff	GSM409067
22	E0-12_CP190 ChIP-chip	White	White	ChIP-chip	chromatin	Target=Cp190;AbName=CP190-VC;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	8/15/08	8/15/08	released	CP190_1fdr.gff	GSM409068
23	Embryo 0-12h GAF ChIP-chip	White	White	ChIP-chip	chromatin	Target=Trl;AbName=GAF;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	8/15/08	1/26/09	released	GAF_1fdr.gff	GSM409071
24	Embryo 0-12h Mod(mdg4) ChIP-chip	White	White	ChIP-chip	chromatin	Target=mod(mdg4);AbName=mod(mdg4);Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	8/15/08	1/26/09	released	Mod(mdg4)_1fdr.gff	GSM409072
27	Embryo 0-12h SuHw ChIP-chip	White	White	ChIP-chip	chromatin	Target=su(Hw);AbName=Su(Hw);Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	8/15/08	1/26/09	released	SuHw_1fdr.gff	GSM409073
34	5' RACE (mixed-stage embryos)	Celniker	Celniker	RACE	gene model	Reactions=686		Drosophila melanogaster		y; cn bw sp	early embryonic cell, blastoderm cell, gastrula cell	embryo: cleavage stage, extended germ band stage, gastrula stage, pre-blastoderm stage	3/26/08	2/3/09	released	2008-03-26.1.gff	
35 superseded by 2675	DMG1 gene models	Celniker	Brent	Computational annotation	gene model			Drosophila melanogaster					3/27/08	3/4/09	replaced	transcript_clusters/dm2_run1.gff3, models/DMG1.gff3	
36 superseded by 2675	DMG2 gene models	Celniker	Brent	Computational annotation	gene model			Drosophila arizonae, Drosophila sp., Drosophila simulans, Drosophila melanogaster					4/23/08	3/4/09	replaced	transcript_clusters/dm3_run2.gff3, models/DMG2.gff3	
37 superseded by 2675	DMG4 gene models	Celniker	Brent	Computational annotation	gene model			Drosophila simulans, Drosophila arizonae, Drosophila sp., Drosophila melanogaster					6/26/08	3/5/09	replaced	transcript_clusters/dm3_run4.gff3, models/DMG4.gff3	
40	Dm_1182-4H_TotalRNA_p200_038-040-042_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	1182-4H				3/26/08	1/27/09	released	1182-4H.bed.gff3	GSE16269, GSM409470, GSM409471, GSM409472
43	HTZ-1_N2_Mixed_Embryos (BK00001_HTZ1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=htz-1;AbName=HTZ-1;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	9/10/08	2/11/10	released	computed_peaks/HTZIP_chipotle_peaks_WS180.gff3	GSM257465
44	POL-2_N2_Mixed_Embryos (CVMMS126R_8WG16_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=ama-1;AbName=8WG16;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	9/10/08	2/17/10	released		GSM257637
48	Dm_CME-L1_TotalRNA_p200_086-088-090_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	CME L1				3/26/08	1/27/09	released	CME-L1.bed.gff3	GSE16270, GSM409473, GSM409474, GSM409475
49	Dm_CME-W1-Cl.8p_TotalRNA_p200_060-062-064_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	CME W1 Cl.8+				3/26/08	1/27/09	released	CME-W1-Cl.8+.bed.gff3	GSE16271, GSM409476, GSM409477, GSM409478
50	Dm_GM2_TotalRNA_p200_008-010-012_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	GM2				3/26/08	1/27/09	released	GM2.bed.gff3	GSE16272, GSM409479, GSM409479, GSM409480, GSM409481
51	Dm_Kc167_TotalRNA_p200_002-004-006_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	Kc167				3/26/08	1/27/09	released	Kc167.bed.gff3	GSE16273, GSM409482, GSM409483, GSM409484
52	Dm_ML-DmBG1-c2_TotalRNA_p200_116-118-120_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmBG1-c1				3/26/08	1/27/09	released	ML-DmBG1-c1.bed.gff3	GSE16274, GSM409485, GSM409486, GSM409487
53	Dm_ML-DmBG3-c2_TotalRNA_p200_122-124-126_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmBG3-c2				3/26/08	1/27/09	released	ML-DmBG3-c2.bed.gff3	GSE16275, GSM409488, GSM409489, GSM409490
54	Dm_ML-DmD11_TotalRNA_p200_170-172-174_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD11				3/26/08	1/27/09	released	ML-DmD11.bed.gff3	GSE16276, GSM409491, GSM409492, GSM409493
55	Dm_DmD17-c3_TotalRNA_p200_194-196-198_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD17-c3				3/26/08	1/27/09	released	ML-DmD17-c3.bed.gff3	GSE16277, GSM409494, GSM409495, GSM409496
56	Dm_DmD20-c2_TotalRNA_p200_182-184-186_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD20-c2				3/26/08	1/27/09	released	ML-DmD20-c2.bed.gff3	GSE16278, GSM409497, GSM409498, GSM409499
57	Dm_DmD20-c5_TotalRNA_p200_188-190-192_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD20-c5				3/26/08	1/27/09	released	ML-DmD20-c5.bed.gff3	GSE16279, GSM409500, GSM409501, GSM409502
58	Dm_DmD21_TotalRNA_p200_050-052-054_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD21				3/26/08	1/27/09	released	ML-DmD21.bed.gff3	GSE16280, GSM409503, GSM409504, GSM409505
59	Dm_DmD32_TotalRNA_p200_164-166-168_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD32				3/26/08	1/27/09	released	ML-DmD32.bed.gff3	GSE16281, GSM409506, GSM409507, GSM409508
60	Dm_DmD4-c1_TotalRNA_p200_140-142-144_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD4-c1				3/26/08	1/27/09	released	ML-DmD4-c1.bed.gff3	GSE16282, GSM409509, GSM409510, GSM409511
61	Dm_DmD8_TotalRNA_p200_206-208-210_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD8				3/26/08	1/27/09	released	ML-DmD8.bed.gff3	GSE16283, GSM409512, GSM409513, GSM409514
62	Dm_DmD9_TotalRNA_p200_072-074-076_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD9				3/26/08	1/27/09	released	ML-DmD9.bed.gff3	GSE16284, GSM409515, GSM409516, GSM409517
63	Dm_S1_TotalRNA_p200_026-028-030_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S1				3/26/08	1/27/09	released	S1.bed.gff3	GSE16285, GSM409518, GSM409519, GSM409520
64	Dm_S2-DRSC_TotalRNA_p200_014-016-018_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S2-DRSC				3/26/08	1/27/09	released	S2-DRSC.bed.gff3	GSE16286, GSM409521, GSM409522, GSM409523
65	Dm_S2Rp_TotalRNA_p200_020-022-024_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S2R+				3/26/08	1/27/09	released	S2R+.bed.gff3	GSE16287, GSM409524, GSM409525, GSM409526
66	Dm_S3_TotalRNA_p200_104-106-108_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S3				3/26/08	1/27/09	released	S3.bed.gff3	GSE16288, GSM409527, GSM409528, GSM409529
67	Dm_Sg4_TotalRNA_p200_200-202-204_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	Sg4				3/26/08	1/27/09	released	Sg4.bed.gff3	GSE16289, GSM409530, GSM409531, GSM409532
69	Dm_DmD16-c3_TotalRNA_p200_138-136-138_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmD16-c3				3/26/08	1/27/09	released	ML-DmD16-c3.bed.gff3	GSE16290, GSM409533, GSM409534, GSM409535
74 deprecated by 737	Lai_GSM240749	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	adult head	adult: adult stage	9/17/09	6/13/08	replaced		
75 deprecated by 738	Lai_GSM272653	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	Kc167				9/17/09	6/13/08	replaced		
76 deprecated by 739	Lai_GSM286602	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	abdomen, thorax	adult: adult stage	9/17/09	3/31/09	replaced		
77 deprecated by 740	Lai_GSM286605	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	9/17/09	6/12/09	replaced		
78 deprecated by 517	Lai_GSM286611	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage 11-13	9/17/09	4/8/09	replaced		
79 deprecated by 741	Lai_GSM272651	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	mixed: S2-DRSC, Kc167				9/17/09	2/15/10	replaced		
80 deprecated by 742	Lai_GSM275691	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	imaginal disc	adult: adult stage	9/17/09	12/23/09	replaced		
81 deprecated by 743	Lai_GSM286603	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	adult: adult stage	9/17/09	3/2/09	replaced		
82 deprecated by 752	Lai_GSM286606	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	9/17/09	4/3/09	replaced		
83 deprecated by 745	Lai_GSM286613	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	9/17/09	10/15/10	replaced		
84 deprecated by 746	Lai_GSM272652	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	S2-DRSC				9/17/09	3/9/09	replaced		
85 deprecated by 747	Lai_GSM286601	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	adult head	adult: adult stage	9/17/09	6/16/09	replaced		
87 deprecated by 518	Lai_GSM286607	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage 11-13	9/17/09	4/3/09	replaced		
90	DPY-27_N2_Mixed_Embryos (JL00001_DPY27_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-27;AbName=DPY-27;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	9/21/08	12/4/09	released	computed_peaks/DPY27_peaks.gff	GSM147959
91 deprecated by 519	Lai_GSM286604	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	9/17/09	4/6/09	replaced		
92 deprecated by 763	Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_TotalRNA_p200_230-232_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, late extended germ band stage, embryonic stage 11-12	9/17/09	3/2/09	replaced		
93	Dm_y[1]cn[1] bw[1] sp[1]_larval_L1_TotalRNA_p200_284-286-288_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	larva: first instar larval stage, larval stage	9/23/08	1/28/09	released	Dro2_AS_Dm_L1_larvae_729.gff	GSE16292, GSM409538, GSM409539, GSM409540
94	Dm_y[1]cn[1] bw[1] sp[1]_larval_L2_TotalRNA_p200_290-292-294_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, second instar larval stage	9/23/08	1/27/09	released	Dro2_AS_Dm_L2_larvae_659.gff	GSE16293, GSM409541, GSM409542, GSM409543
95	Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupae_TotalRNA_p200_326-328-330_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	larva: prepupal stage, prepupal stage P1	9/23/08	1/27/09	released	Dro2_AS_Dm_WPP_RW_788.gff	GSE16294, GSM409544, GSM409545, GSM409546
96	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_1dayPostEclosion_TotalRNA_p200_374-376-378_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	9/23/08	1/27/09	released	Dro2_AS_DroAdF-Ecl+1day_754.gff	GSE16295, GSM409547, GSM409548, GSM409549
97	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_5dayPostEclosion_TotalRNA_p200_386-388-390_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	9/23/08	1/27/09	released	Dro2_AS_DroAdF-Ecl+5day_755.gff	GSE16296, GSM409550, GSM409551, GSM409552
98	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_1dayPostEclosion_TotalRNA_p200_368-370-372_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	9/23/08	1/28/09	released	Dro2_AS_DroAdM-Ecl+1day_730.gff	GSE16297, GSM409553, GSM409554, GSM409555
99	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_5dayPostEclosion_TotalRNA_p200_380-382-384_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	9/23/08	1/28/09	released	Dro2_AS_DroAdM-Ecl+5day_756.gff	GSE16298, GSM409556, GSM409557, GSM409558
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, third instar larval stage	9/23/08	1/28/09	released	Dro2_AS_L3-larvae-dark-blue_RW_789.gff	GSE16299, GSM409559, GSM409560, GSM409561
101	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_TotalRNA_p200_212-214-216_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, pre-blastoderm stage, embryonic stage 1-2	9/23/08	1/28/09	released	Dro2_AS_Dm_emb_2h_578.gff	GSE16300, GSM409562, GSM409563, GSM409564
102	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_poly-Ap_p200_403-404-405_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, pre-blastoderm stage, embryonic stage 1-2	9/23/08	1/28/09	released	Dro2_AS_Dm_emb_2h_RWP+_579.gff	GSE16301, GSM409565, GSM409566, GSM409567
103	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_TotalRNA_p200_236-238-240_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: late extended germ band stage, embryonic stage 12-13	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_10h_724.gff	GSE16302, GSM409568, GSM409569, GSM409570
104	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_poly-Ap_p200_415-416-417_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: late extended germ band stage, embryonic stage 12-13	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_10h_RW+_725.gff	GSE16303, GSM409571, GSM409572, GSM409573
105	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_TotalRNA_p200_242-244-246_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 13-15	9/23/08	1/28/09	released	Dro2_AS_Dm_emb_12h_726.gff	GSE16304, GSM409574, GSM409575, GSM409576
106	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_poly-Ap_p200_418-419-420_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 13-15	9/23/08	1/27/09	released	Dro2_AS_Dm_emb_12h_RW+_727.gff	GSE16305, GSM409577, GSM409578, GSM409579
107	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_TotalRNA_p200_248-250-252_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: dorsal closure stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 15-16	9/23/08	1/27/09	released	Dro2_AS_Dm_emb_14h_722.gff	GSE16306, GSM409580, GSM409581, GSM409582
108	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_poly-Ap_p200_421-422-423_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: dorsal closure stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 15-16	9/23/08	9/23/08	released	Dro2_AS_Dm_emb_14h_RW+_684.gff	GSE16307, GSM409583, GSM409584, GSM409585
109	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_TotalRNA_p200_254-256-258_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16	9/23/08	1/29/09	released	Dro2_AS_Dm_emb_16h_654.gff	GSE16308, GSM409586, GSM409587, GSM409588
110	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_poly-Ap_p200_424-425_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16	9/23/08	3/2/09	released	Dro2_AS_Dm_emb_16h_RW+_787.gff	GSE16309, GSM409589, GSM409590
111	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_TotalRNA_p200_260-262-264_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 17	9/23/08	1/31/09	released	Dro2_AS_Dm_emb_18h_685.gff	GSE16310, GSM409591, GSM409592, GSM409593
