DCC id	Title	Data File	Level 1 <organism>	Level 2 <Target>	Level 3 <Technique>	Level 4 <File Format>	Filename <Factor>	Filename <Condition>	Filename <Technique>	Filename <Algorithm>	Filename <ReplicateSetNum>	Filename <Build>	Filename <Modencode ID>
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_C01_B1_T1.CEL.bz2	Dmel_r5.4	mRNA	RNA-tiling-array	raw-arrayfile_pair	total-RNA	Strain_Y cn bw sp_Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	RNA-tiling-array			Dmel_r5.4	MDENC00100
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_C01_B2_T1.CEL.bz2	Dmel_r5.4	mRNA	RNA-tiling-array	raw-arrayfile_pair	total-RNA	Strain_Y cn bw sp_Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	RNA-tiling-array			Dmel_r5.4	MDENC00100
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_C01_B3_T1.CEL.bz2	Dmel_r5.4	mRNA	RNA-tiling-array	raw-arrayfile_pair	total-RNA	Strain_Y cn bw sp_Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	RNA-tiling-array			Dmel_r5.4	MDENC00100
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_789.gr	Dmel_r5.4	mRNA	RNA-tiling-array	normalized-arrayfile_wiggle	total-RNA	Strain_Y cn bw sp_Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	RNA-tiling-array			Dmel_r5.4	MDENC00100
100	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_789.gff	Dmel_r5.4	mRNA	RNA-tiling-array	gene-model_gff3	total-RNA	Strain_Y cn bw sp_Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	RNA-tiling-array			Dmel_r5.4	MDENC00100
1011	RNAi CG10128 (tra2) in S2-DRSC RNA-Seq	GSM461201	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10128-RNAi&oldid=24095	RNA-seq			Dmel_r5.4	MDENC01011
1011	RNAi CG10128 (tra2) in S2-DRSC RNA-Seq	S2_DRSC_CG10128_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10128-RNAi&oldid=24095	RNA-seq			Dmel_r5.4	MDENC01011
1012	RNAi CG10203 (xl6) in S2-DRSC RNA-Seq	GSM461195	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10203-RNAi&oldid=24062	RNA-seq			Dmel_r5.4	MDENC01012
1012	RNAi CG10203 (xl6) in S2-DRSC RNA-Seq	S2_DRSC_CG10203_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10203-RNAi&oldid=24062	RNA-seq			Dmel_r5.4	MDENC01012
1013	RNAi CG10851 (B52) in S2-DRSC RNA-Seq	GSM461198	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10851-RNAi&oldid=24061	RNA-seq			Dmel_r5.4	MDENC01013
1013	RNAi CG10851 (B52) in S2-DRSC RNA-Seq	S2_DRSC_CG10851_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG10851-RNAi&oldid=24061	RNA-seq			Dmel_r5.4	MDENC01013
1014	RNAi CG12749 (Hrb87F) in S2-DRSC RNA-Seq	GSM461187	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG12749-RNAi&oldid=24063	RNA-seq			Dmel_r5.4	MDENC01014
1014	RNAi CG12749 (Hrb87F) in S2-DRSC RNA-Seq	S2_DRSC_CG12749_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG12749-RNAi&oldid=24063	RNA-seq			Dmel_r5.4	MDENC01014
1015	RNAi CG13425 (bl) in S2-DRSC RNA-Seq	GSM461190	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG13425-RNAi&oldid=24098	RNA-seq			Dmel_r5.4	MDENC01015
1015	RNAi CG13425 (bl) in S2-DRSC RNA-Seq	S2_DRSC_CG13425_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG13425-RNAi&oldid=24098	RNA-seq			Dmel_r5.4	MDENC01015
1016	RNAi CG1559 (Upf1) in S2-DRSC RNA-Seq	GSM461204	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG1559-RNAi&oldid=24064	RNA-seq			Dmel_r5.4	MDENC01016
1016	RNAi CG1559 (Upf1) in S2-DRSC RNA-Seq	S2_DRSC_CG1559_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG1559-RNAi&oldid=24064	RNA-seq			Dmel_r5.4	MDENC01016
1017	RNAi CG16901 (sqd) in S2-DRSC RNA-Seq	GSM461189	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG16901-RNAi&oldid=24100	RNA-seq			Dmel_r5.4	MDENC01017
1017	RNAi CG16901 (sqd) in S2-DRSC RNA-Seq	S2_DRSC_CG16901_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG16901-RNAi&oldid=24100	RNA-seq			Dmel_r5.4	MDENC01017
1018	RNAi CG17136 (Rbp1) in S2-DRSC RNA-Seq	GSM461196	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG17136-RNAi&oldid=24103	RNA-seq			Dmel_r5.4	MDENC01018
1018	RNAi CG17136 (Rbp1) in S2-DRSC RNA-Seq	S2_DRSC_CG17136_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG17136-RNAi&oldid=24103	RNA-seq			Dmel_r5.4	MDENC01018
1019	RNAi CG17838 in S2-DRSC RNA-Seq	GSM461188	Dmel_r5.4	mRNA	RNA-seq	GEO_record	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG17838-RNAi&oldid=24104	RNA-seq			Dmel_r5.4	MDENC01019
1019	RNAi CG17838 in S2-DRSC RNA-Seq	S2_DRSC_CG17838_RNAi-1.SAM	Dmel_r5.4	mRNA	RNA-seq	alignment_sam	total-RNA	Cell-Line_S2-DRSC_Tissue_embryo-derived cell-line_Developmental-Stage_late embryonic stage_RNAi-reagent_CG17838-RNAi&oldid=24104	RNA-seq			Dmel_r5.4	MDENC01019
