21 beaf-32  GSM409067 
22 cp190  GSM409068 

23 gaf  GSM409071
2568 gaf  GSM409071
 
24 mod(mdg4)  GSM409072 
2568 gaf  GSM409071

609 brakeless  GSM400172 
2569 brakeless  GSM400172 

27 su(hw)  GSM409073
901 su(hw)  GSM409074 GSM409073 

597 gro  GSM400373 GSM400360 
623 gro  GSM400373 GSM400360

601 snr1  GSM400394 
602 brahma  GSM400395 
603 ubx  GSM400390 GSM400392 GSM400371 GSM400391 
604 zfh1  GSM400372 
605 inv  GSM400364 GSM400365 
606 dll  GSM400202 

608 chinmo  GSM400173 
609 brakeless  GSM400172 
610 gsbn  GSM402169 

611 engrailed  GSM400203 GSM400393 
625 engrailed  GSM400203 GSM400393 

616 stat92e  GSM400368 
617 run  GSM400367 
618 knot  GSM400366 

605 inv  GSM400364 GSM400365
619 inv  GSM400364 GSM400365 

620 h3k36me3  GSM400361


624 ftz-f1  GSM400204 


627 cnc  GSM399627
628 bab1  GSM399407
 
643 nejire  GSM400192
875 nejire  GSM400192 
876 nejire  GSM400192 
877 nejire  GSM400192 
878 nejire  GSM400192 
879 nejire  GSM400192 
880 nejire  GSM400192 
881 nejire  GSM400192 
882 nejire  GSM400192 
900 nejire  GSM400192
903 nejire  GSM400192 
905 nejire  GSM400192 


 
769 ctcf c-terminus  GSM409078 GSM409079 GSM409069 
770 ctcf n-terminus  GSM409070 
908 ctcf n-terminus  GSM409070 
913 ctcf n-terminus  GSM409070 


626 dichaete  GSM399633
2571 dichaete  GSM399633 
2573 dichaete  GSM399633 
2574 dichaete  GSM399633 
2575 dichaete  GSM399633 
2576 dichaete  GSM399633 
2577 dichaete  GSM399633 


2570 caudal  GSM499661 GSM499647 GSM499631 GSM499644 
2578 caudal  GSM499661 GSM499647 GSM499631 GSM499644 
902 caudal  GSM499661 GSM499647 GSM499631 GSM499644 


2558 hdac11  GSM499637 GSM499636 
2567 hdac11  GSM499637 GSM499636 
2559 hdac1  GSM499643 GSM499642 GSM499637 GSM499636 
2560 hdac1  GSM499643 GSM499642 GSM499637 GSM499636 
2561 hdac3  GSM499640 GSM499641 
2562 hdac3  GSM499640 GSM499641 
2563 hdac4a  GSM499633 GSM499635 
2564 hdac4a  GSM499633 GSM499635 
2565 hdac6  GSM499638 GSM499639 
2566 hdac6  GSM499638 GSM499639 

2579 kr ???? 
898 kr ???? 


603 ubx  GSM400390 GSM400392 GSM400371 GSM400391 
612 ubx  GSM400390 GSM400392 GSM400371 GSM400391 
613 ubx  GSM400390 GSM400392 GSM400371 GSM400391 
614 ubx  GSM400390 GSM400392 GSM400371 GSM400391 
